query_id,sql_text,num_tables,num_joins,num_where,num_agg,num_group_by,num_order_by,rows_scanned,rows_returned,cpu_time_ms,io_read_mb,io_write_mb,concurrent_queries,hour_of_day,day_of_week,energy_joules,timestamp
1,SELECT * FROM customers JOIN inventory ON 1=1 JOIN products ON 1=1 JOIN orders ON 1=1 JOIN sales ON 1=1 WHERE col = val WHERE col = val WHERE col = val WHERE col = val,4,1,4,1,1,0,41075,2203,68.58243495654021,7.591157379625409,0.7309102103685885,8,0,4,12.701571629720746,2024-01-01 00:06:23.269685484
2,SELECT * FROM orders JOIN inventory ON 1=1 WHERE col = val WHERE col = val,1,0,2,0,0,0,14533,1329,17.505026679675318,4.2583427561180605,2.979218267821194,7,17,0,0.0,2024-01-01 00:06:43.169167434
3,SELECT * FROM customers JOIN inventory ON 1=1 JOIN products ON 1=1 JOIN orders ON 1=1 WHERE col = val WHERE col = val,3,1,2,1,0,0,11912,1068,33.85257539823759,4.046044985823109,0.11039047664166231,6,4,0,0.0,2024-01-01 00:08:54.575482860
4,SELECT * FROM customers JOIN inventory ON 1=1 JOIN sales ON 1=1 JOIN products ON 1=1 WHERE col = val WHERE col = val,3,0,2,0,0,0,38200,502,56.57650607124248,6.768331981083894,0.6104223173750634,2,16,4,2.497914492534253,2024-01-01 00:13:10.506941934
5,SELECT * FROM orders JOIN customers ON 1=1 WHERE col = val WHERE col = val,1,0,2,1,0,1,74045,2603,101.15475489934572,10.233323103247349,0.24466354770140694,3,23,1,6.5415610449245865,2024-01-01 00:19:31.022293806
6,SELECT * FROM inventory JOIN orders ON 1=1 JOIN products ON 1=1 WHERE col = val,2,0,1,1,0,0,57518,4344,68.82276058656387,10.872067742622459,0.2311027570035783,5,11,5,19.951918341168167,2024-01-01 00:19:46.436246580
7,SELECT * FROM inventory JOIN sales ON 1=1 WHERE col = val,1,2,1,0,0,0,36986,2541,83.6656874064212,5.283585881388962,0.009448196614782876,3,13,2,5.171778288086032,2024-01-01 00:23:10.550359044
8,SELECT * FROM orders JOIN sales ON 1=1 WHERE col = val WHERE col = val,1,1,2,2,0,1,60372,3832,111.67135204787458,9.645627674836913,0.009847739843024658,5,2,2,17.198363623251225,2024-01-01 00:28:07.528400592
9,SELECT * FROM inventory JOIN products ON 1=1 JOIN customers ON 1=1 WHERE col = val WHERE col = val WHERE col = val WHERE col = val,2,0,4,0,0,0,9486,942,2.5786751531968886,1.6164898639347982,0.10328009898398958,5,18,1,3.7148959706088522,2024-01-01 00:31:03.398177892
10,SELECT * FROM orders JOIN sales ON 1=1 JOIN inventory ON 1=1 WHERE col = val WHERE col = val WHERE col = val,2,0,3,0,0,0,87633,3010,85.33671465409297,12.955587820079758,0.0964905457356563,4,9,4,28.495037722013716,2024-01-01 00:31:56.641247298
11,SELECT * FROM products JOIN orders ON 1=1,1,2,0,0,0,0,4629,240,0.0,1.9529024329806626,0.00021874318226939354,4,1,1,0.0,2024-01-01 00:35:22.098422922
12,SELECT * FROM orders WHERE col = val WHERE col = val WHERE col = val WHERE col = val,0,1,4,2,1,0,54889,5375,117.73576241753752,5.650826894958448,1.8942527633301034,7,21,2,11.801732716934858,2024-01-01 00:42:26.949585168
13,SELECT * FROM products JOIN customers ON 1=1 JOIN sales ON 1=1 JOIN orders ON 1=1 JOIN inventory ON 1=1 WHERE col = val,4,1,1,0,2,2,117682,8221,168.30122962858155,23.35441745341565,0.35026067928655674,8,21,4,30.731634393945747,2024-01-01 00:50:23.067798774
14,SELECT * FROM products JOIN inventory ON 1=1 JOIN sales ON 1=1 WHERE col = val WHERE col = val WHERE col = val,2,2,3,0,0,0,59289,3866,121.02948197044797,9.49323862851807,0.252210984241823,2,4,5,30.342437999197983,2024-01-01 00:54:06.946996830
15,SELECT * FROM products JOIN customers ON 1=1 WHERE col = val WHERE col = val WHERE col = val,1,3,3,1,0,0,53380,871,146.8071913103296,8.325902164224694,0.10958531404855905,7,0,5,15.740436119364047,2024-01-01 00:54:53.280303990
16,SELECT * FROM sales JOIN customers ON 1=1 JOIN orders ON 1=1 JOIN inventory ON 1=1 WHERE col = val,3,0,1,0,0,0,7649,194,0.0,3.9852859101637366,0.20315639255329804,0,16,0,1.2575591629182454,2024-01-01 00:55:38.169693306
17,SELECT * FROM inventory JOIN products ON 1=1 JOIN sales ON 1=1 WHERE col = val WHERE col = val,2,2,2,0,0,0,45373,1740,80.75445056939681,6.676160201112663,0.31799552506504103,5,20,0,11.697577002798457,2024-01-01 00:56:59.678374950
18,SELECT * FROM inventory JOIN products ON 1=1 JOIN sales ON 1=1 JOIN customers ON 1=1 JOIN orders ON 1=1 WHERE col = val WHERE col = val WHERE col = val WHERE col = val,6,1,4,0,0,0,1249443,58748,1873.6804780877617,277.33111515657765,3.119412158002084,3,2,2,351.2261358719332,2024-01-01 00:57:37.432896306
19,SELECT * FROM customers JOIN orders ON 1=1 WHERE col = val WHERE col = val WHERE col = val WHERE col = val,1,1,4,2,1,2,37799,1898,86.62647338928342,5.67246157137855,1.0718612676546564,3,23,6,33.433919156887676,2024-01-01 00:58:25.699882068
20,SELECT * FROM products JOIN customers ON 1=1 WHERE col = val WHERE col = val,1,0,2,2,0,0,20373,1839,39.53636120582958,6.115197337557762,0.029551775480947742,2,22,6,20.727911968415,2024-01-01 00:59:10.779282186
21,SELECT * FROM orders JOIN customers ON 1=1 JOIN inventory ON 1=1,2,0,0,0,0,0,2730,31,5.665068697464351,1.9210029002947122,0.1164338183042078,3,23,0,9.045257219800911,2024-01-01 00:59:29.955429444
22,SELECT * FROM products JOIN sales ON 1=1 JOIN inventory ON 1=1 WHERE col = val WHERE col = val WHERE col = val,2,3,3,1,1,0,99061,2534,283.096630983541,16.326149029126555,0.43776364274379803,6,19,6,51.13771441365604,2024-01-01 01:01:45.480652434
23,SELECT * FROM products JOIN orders ON 1=1 WHERE col = val,1,2,1,0,0,0,80669,1227,162.08122418562883,10.905070608760186,0.30433544780153227,3,22,1,26.46003297901123,2024-01-01 01:02:44.095427106
24,SELECT * FROM products JOIN inventory ON 1=1 JOIN customers ON 1=1 JOIN orders ON 1=1 WHERE col = val,3,0,1,1,0,0,18339,1353,17.262773980932394,4.233121928767487,1.1217166262017768,4,1,3,0.0,2024-01-01 01:18:19.616044056
25,SELECT * FROM customers JOIN orders ON 1=1 JOIN products ON 1=1 JOIN inventory ON 1=1 JOIN sales ON 1=1,4,0,0,0,1,1,27467,2666,41.51109338783522,5.957653230121225,0.44652268853347743,3,1,6,14.816313324262083,2024-01-01 01:19:57.460622802
26,SELECT * FROM sales JOIN inventory ON 1=1 WHERE col = val WHERE col = val WHERE col = val WHERE col = val WHERE col = val,1,0,5,0,0,0,5097,456,0.0,2.8536188340396533,0.3559255061161183,8,0,5,0.0,2024-01-01 01:22:59.288557038
27,SELECT * FROM products JOIN orders ON 1=1 JOIN inventory ON 1=1 JOIN sales ON 1=1 WHERE col = val WHERE col = val WHERE col = val WHERE col = val,3,1,4,1,1,0,60953,4425,125.47459915080226,11.430918755682105,1.819507187220695,6,22,3,35.00488799941923,2024-01-01 01:31:58.273427844
28,SELECT * FROM customers JOIN orders ON 1=1 WHERE col = val WHERE col = val WHERE col = val,1,1,3,0,2,0,83586,261,131.74207744132724,11.463469047628207,0.1092329036365974,3,0,5,12.61947189443751,2024-01-01 01:36:43.867390536
